salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
2182,3888010284,32.0,,29.0,HOURLY,USD,BASE_SALARY
2187,3888010302,30.0,,26.0,HOURLY,USD,BASE_SALARY
2188,3888003906,29.0,,26.0,HOURLY,USD,BASE_SALARY
2189,3888003922,30.0,,27.0,HOURLY,USD,BASE_SALARY
2208,3884836572,180000.0,,140000.0,YEARLY,USD,BASE_SALARY
2211,3885840479,130000.0,,100000.0,YEARLY,USD,BASE_SALARY
2215,3887888957,150000.0,,120000.0,YEARLY,USD,BASE_SALARY
2226,3888005806,29.0,,26.0,HOURLY,USD,BASE_SALARY
2230,3884851550,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2231,3884933455,140000.0,,90000.0,YEARLY,USD,BASE_SALARY
2232,3884854203,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2235,3884847905,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2237,3884835230,80.0,,75.0,HOURLY,USD,BASE_SALARY
2241,3887892600,27.69,,20.0,HOURLY,USD,BASE_SALARY
2242,3887887872,237100.0,,133300.0,YEARLY,USD,BASE_SALARY
2246,3884848882,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2253,3885840698,120000.0,,75000.0,YEARLY,USD,BASE_SALARY
2260,3884854217,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2263,3884824088,,25.0,,HOURLY,USD,BASE_SALARY
2266,3885826572,120000.0,,80000.0,YEARLY,USD,BASE_SALARY
2281,3885825604,16.5,,15.85,HOURLY,USD,BASE_SALARY
2291,3885851381,,57.35,,HOURLY,USD,BASE_SALARY
2296,3884854191,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2305,3887893460,190000.0,,110000.0,YEARLY,USD,BASE_SALARY
2306,3885842422,125000.0,,100000.0,YEARLY,USD,BASE_SALARY
2311,3888007706,30.0,,27.0,HOURLY,USD,BASE_SALARY
2314,3884933157,86500.0,,70000.0,YEARLY,USD,BASE_SALARY
2316,3884842952,,20.0,,HOURLY,USD,BASE_SALARY
2317,3887893466,27.69,,18.0,HOURLY,USD,BASE_SALARY
2321,3888006747,35.0,,30.0,HOURLY,USD,BASE_SALARY
2325,3884848848,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2330,3884854167,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2338,3885853779,110000.0,,80000.0,YEARLY,USD,BASE_SALARY
2339,3885854677,110000.0,,105000.0,YEARLY,USD,BASE_SALARY
2345,3884850714,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2348,3885843319,95000.0,,75000.0,YEARLY,USD,BASE_SALARY
2357,3888005809,32.0,,29.0,HOURLY,USD,BASE_SALARY
2360,3885837778,120000.0,,105000.0,YEARLY,USD,BASE_SALARY
2361,3885823684,160000.0,,120000.0,YEARLY,USD,BASE_SALARY
2368,3884825596,23.5,,17.0,HOURLY,USD,BASE_SALARY
2380,3885858446,75000.0,,70000.0,YEARLY,USD,BASE_SALARY
2383,3885842561,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
2392,3885824680,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
2400,3885857235,79500.0,,57700.0,YEARLY,USD,BASE_SALARY
2401,3884919080,135000.0,,90000.0,YEARLY,USD,BASE_SALARY
2404,3887713592,,20.0,,HOURLY,USD,BASE_SALARY
2413,3884848840,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2416,3885821986,16.5,,15.0,HOURLY,USD,BASE_SALARY
2428,3888015050,58.0,,48.0,HOURLY,USD,BASE_SALARY
2430,3885859487,284000.0,,189000.0,YEARLY,USD,BASE_SALARY
2435,3885855308,110000.0,,85000.0,YEARLY,USD,BASE_SALARY
2438,3884854210,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2440,3888020831,,16.0,,HOURLY,USD,BASE_SALARY
2443,3885855533,55000.0,,50000.0,YEARLY,USD,BASE_SALARY
2446,3884818897,,18.5,,HOURLY,USD,BASE_SALARY
2450,3884847908,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2457,3888007700,30.0,,26.0,HOURLY,USD,BASE_SALARY
2460,3884819899,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
2461,3885853946,130000.0,,120000.0,YEARLY,USD,BASE_SALARY
2476,3887887955,150000.0,,120000.0,YEARLY,USD,BASE_SALARY
2478,3884849758,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2484,3885838803,95000.0,,90000.0,YEARLY,USD,BASE_SALARY
2492,3885839478,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2493,3884853314,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2503,3885857541,90000.0,,75000.0,YEARLY,USD,BASE_SALARY
2508,3885836904,150000.0,,137000.0,YEARLY,USD,BASE_SALARY
2509,3885866714,,65000.0,,YEARLY,USD,BASE_SALARY
2522,3884936872,,15.0,,HOURLY,USD,BASE_SALARY
2523,3885853945,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
2534,3887837913,,38.0,,HOURLY,USD,BASE_SALARY
2535,3885837772,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2536,3884847913,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2538,3884852527,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2539,3884833020,238600.0,,112000.0,YEARLY,USD,BASE_SALARY
2543,3884852531,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2545,3884848890,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2546,3885823647,180000.0,,150000.0,YEARLY,USD,BASE_SALARY
2548,3885860817,,50000.0,,YEARLY,USD,BASE_SALARY
2549,3885856348,85000.0,,65000.0,YEARLY,USD,BASE_SALARY
2551,3884841948,,20.0,,HOURLY,USD,BASE_SALARY
2552,3887888894,27.69,,20.0,HOURLY,USD,BASE_SALARY
2556,3888005811,30.0,,26.0,HOURLY,USD,BASE_SALARY
2566,3887891692,27.69,,18.0,HOURLY,USD,BASE_SALARY
2569,3888009426,32.0,,27.0,HOURLY,USD,BASE_SALARY
2574,3885826569,160000.0,,125000.0,YEARLY,USD,BASE_SALARY
2583,3888010285,30.0,,26.0,HOURLY,USD,BASE_SALARY
2589,3885859481,130000.0,,105000.0,YEARLY,USD,BASE_SALARY
2605,3885841434,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2614,3885836836,175000.0,,150000.0,YEARLY,USD,BASE_SALARY
2623,3885828026,100000.0,,90000.0,YEARLY,USD,BASE_SALARY
2624,3884851565,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2625,3885841439,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2627,3884823115,87.0,,20.0,HOURLY,USD,BASE_SALARY
2631,3884837292,180000.0,,140000.0,YEARLY,USD,BASE_SALARY
2632,3884824090,,18.0,,HOURLY,USD,BASE_SALARY
2642,3885858451,60000.0,,50000.0,YEARLY,USD,BASE_SALARY
2645,3884852494,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2651,3888008614,30.0,,26.0,HOURLY,USD,BASE_SALARY
2658,3885838582,120000.0,,85000.0,YEARLY,USD,BASE_SALARY
2667,3885855628,200000.0,,136000.0,YEARLY,USD,BASE_SALARY
2668,3884854171,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2686,3885857340,60000.0,,50000.0,YEARLY,USD,BASE_SALARY
2689,3885866755,,80000.0,,YEARLY,USD,BASE_SALARY
2691,3885859442,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
2696,3887894422,140000.0,,115000.0,YEARLY,USD,BASE_SALARY
2697,3885854608,110000.0,,85000.0,YEARLY,USD,BASE_SALARY
2703,3884854202,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2720,3888012297,27.67,,18.29,HOURLY,USD,BASE_SALARY
2721,3885853880,50000.0,,40000.0,YEARLY,USD,BASE_SALARY
2723,3885852911,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
2725,3885853677,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
2739,3884831156,282200.0,,133600.0,YEARLY,USD,BASE_SALARY
2741,3885837770,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2750,3885839474,85000.0,,70000.0,YEARLY,USD,BASE_SALARY
2751,3884853494,70000.0,,60000.0,YEARLY,USD,BASE_SALARY
2754,3888003901,30.0,,26.0,HOURLY,USD,BASE_SALARY
2759,3887882856,55.0,,45.0,HOURLY,USD,BASE_SALARY
2763,3888005814,30.0,,26.0,HOURLY,USD,BASE_SALARY
2770,3885858734,200000.0,,136000.0,YEARLY,USD,BASE_SALARY
2774,3884824736,21.0,,15.0,HOURLY,USD,BASE_SALARY
2777,3885852717,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
2779,3884851526,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2784,3884859142,160000.0,,130000.0,YEARLY,USD,BASE_SALARY
2786,3885840583,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
